SYMBOL,PIOTROSKI SCORE
PRINCEPIPE,9
BALKRISIND,9
WELSPUNIND,9
CADILAHC,9
TORNTPHARM,9
CHAMBLFERT,9
EDELWEISS,9
APLAPOLLO,8
GALAXYSURF,8
TEAMLEASE,8
KPRMILL,8
ASTRAL,8
BASF,8
BAJAJFINSV,8
BALRAMCHIN,8
UPL,8
DEEPAKNTR,8
BALAMINES,8
CEATLTD,8
INTELLECT,8
CENTURYPLY,8
ASTRAZEN,8
CIPLA,8
COROMANDEL,8
VEDL,8
DIVISLAB,8
LALPATHLAB,8
SUPREMEIND,8
GESHIP,8
SHREECEM,8
SANOFI,8
SKFINDIA,8
PERSISTENT,8
SUMICHEM,8
DHANUKA,8
JKCEMENT,8
JKLAKSHMI,8
JKTYRE,8
JYOTHYLAB,8
KALPATPOWR,8
VENKEYS,7
ADANITRANS,7
GRINDWELL,7
LINDEINDIA,7
APLLTD,7
ALKEM,7
ELGIEQUIP,7
ERIS,7
ASIANPAINT,7
ATUL,7
ROUTE,7
DMART,7
ASTERDM,7
CESC,7
BAJAJCON,7
BAJAJELEC,7
ZEEL,7
SHARDACROP,7
TRITURBINE,7
BLUEDART,7
ORIENTELEC,7
BBTC,7
BOSCHLTD,7
MCDOWELL-N,7
CERA,7
THYROCARE,7
THERMAX,7
TECHM,7
TATASTEEL,7
CUMMINSIND,7
CYIENT,7
DCMSHRIRAM,7
TATACONSUM,7
EPL,7
SOLARA,7
TATAELXSI,7
SUPPETRO,7
TTKPRESTIG,7
ENDURANCE,7
LTI,7
ESCORTS,7
VAIBHAVGBL,7
ABBOTINDIA,7
SUNDRMFAST,7
SUNPHARMA,7
GLAXO,7
GODREJCP,7
POWERINDIA,7
RELAXO,7
REDINGTON,7
METROPOLIS,7
RALLIS,7
RAIN,7
MCX,7
HINDPETRO,7
PRSMJOHNSN,7
HINDZINC,7
TATACOFFEE,7
BSOFT,7
PFIZER,7
IFBIND,7
OFSS,7
INDIACEM,7
IOC,7
KSB,7
TATACOMM,7
MOTILALOFS,7
JBCHEPHARM,7
MINDACORP,7
MINDTREE,7
PGHL,7
MARUTI,7
LUPIN,7
LAXMIMACH,7
ACC,6
NAM-INDIA,6
ZYDUSWELL,6
STAR,6
PHILIPCARB,6
BDL,6
HATSUN,6
BSE,6
ADANIGREEN,6
GRASIM,6
IEX,6
HONAUT,6
SUPRAJIT,6
SIS,6
KEI,6
ECLERX,6
WIPRO,6
WHIRLPOOL,6
WABCOINDIA,6
VOLTAS,6
VSTIND,6
UBL,6
ULTRACEMCO,6
TORNTPOWER,6
TATAPOWER,6
FINEORG,6
TATAINVEST,6
TCS,6
DALBHARAT,6
ATGL,6
SUDARSCHEM,6
NESTLEIND,6
BAYERCROP,6
SONATSOFTW,6
SOLARINDS,6
AMBER,6
SIEMENS,6
TCIEXP,6
JCHAC,6
SCHAEFFLER,6
SRF,6
SJVN,6
RELIANCE,6
RAJESHEXPO,6
POWERGRID,6
PEL,6
PAGEIND,6
PNBHOUSING,6
OIL,6
ONGC,6
INDIAMART,6
NILKAMAL,6
INFY,6
COFORGE,6
NCC,6
TASTYBITE,6
MINDAIND,6
MARICO,6
ABB,6
GRSE,6
M&M,6
MGL,6
MRF,6
LAURUSLABS,6
LTTS,6
GLENMARK,6
AJANTPHARM,6
DABUR,6
EICHERMOT,6
EMAMILTD,6
ENGINERSIN,6
LT,6
FSL,6
POLYPLEX,6
GAIL,6
AARTIDRUGS,6
3MINDIA,6
INGERRAND,6
IRB,6
IDBI,6
JTEKTINDIA,6
HCLTECH,6
GRANULES,6
GUJGASLTD,6
COLPAL,6
HDFCBANK,6
